doy,sun_up,med_flip,sun_down,min_alt
344,08:56:00,12:23:00,15:40:00,15
345,08:57:00,12:24:00,15:40:00,15
346,08:58:00,12:24:00,15:40:00,15
347,08:59:00,12:25:00,15:40:00,15
348,09:00:00,12:25:00,15:41:00,15
349,09:01:00,12:26:00,15:41:00,15
350,09:01:00,12:26:00,15:41:00,15
351,09:02:00,12:27:00,15:41:00,15
352,09:03:00,12:27:00,15:42:00,15
353,09:03:00,12:28:00,15:42:00,15
354,09:04:00,12:28:00,15:42:00,15
355,09:04:00,12:29:00,15:43:00,15
356,09:05:00,12:29:00,15:43:00,15
357,09:05:00,12:30:00,15:44:00,15
358,09:06:00,12:30:00,15:44:00,15
359,09:06:00,12:31:00,15:45:00,15
360,09:07:00,12:31:00,15:46:00,15
361,09:07:00,12:32:00,15:46:00,15
362,09:07:00,12:32:00,15:47:00,15
363,09:07:00,12:33:00,15:48:00,15
364,09:08:00,12:33:00,15:49:00,15
365,09:08:00,12:34:00,15:50:00,15
366,09:08:00,12:34:00,15:50:00,15
